# Program:featureCounts v1.5.0-p1; Command:"featureCounts" "-T" "6" "-t" "exon" "-g" "gene_id" "-a" "./GTF_File/PT_genome_merged_DN001.gtf" "-o" "LHCX_result.txt" "./SamFile/Merged_WT_LL_1.sam" "./SamFile/Merged_WT_LL_2.sam" "./SamFile/Merged_WT_LL_3.sam" "./SamFile/Merged_WT_HL_1.sam" "./SamFile/Merged_WT_HL_2.sam" "./SamFile/Merged_WT_HL_3.sam" "./SamFile/Merged_LHCX_LL_1.sam" "./SamFile/Merged_LHCX_LL_2.sam" "./SamFile/Merged_LHCX_LL_3.sam" "./SamFile/Merged_LHCX_HL_1.sam" "./SamFile/Merged_LHCX_HL_2.sam" "./SamFile/Merged_LHCX_HL_3.sam" 
Geneid	Chr	Start	End	Strand	Length	./SamFile/Merged_WT_LL_1.sam	./SamFile/Merged_WT_LL_2.sam	./SamFile/Merged_WT_LL_3.sam	./SamFile/Merged_WT_HL_1.sam	./SamFile/Merged_WT_HL_2.sam	./SamFile/Merged_WT_HL_3.sam	./SamFile/Merged_LHCX_LL_1.sam	./SamFile/Merged_LHCX_LL_2.sam	./SamFile/Merged_LHCX_LL_3.sam	./SamFile/Merged_LHCX_HL_1.sam	./SamFile/Merged_LHCX_HL_2.sam	./SamFile/Merged_LHCX_HL_3.sam
Phatr3_J31474	1	171492	174263	-	2772	223	243	285	306	320	227	425	1278	441	1068	4168	1408
Phatr3_EG02407	1;1	175330;176561	175902;178993	+;+	3006	980	784	813	825	1348	759	657	3242	622	905	3407	1233
Phatr3_J42479	1	179102	180277	-	1176	908	782	793	347	469	252	970	4693	675	807	2883	1575
Phatr3_J42481	1;1;1	180837;181904;182125	181636;181993;183098	+;+;+	1864	539	543	518	299	468	346	627	3064	585	455	1770	711
Phatr3_J17199	1	183185	185389	-	2205	1954	2061	2236	1299	2172	1243	2332	10597	2210	2423	9038	4229
Phatr3_J42483	1	186262	187560	+	1299	68	76	64	38	61	30	80	221	59	96	437	198
Phatr3_J42484	1;1;1;1	188157;188526;188831;189036	188520;188742;188955;189239	+;+;+;+	910	340	313	316	304	375	256	351	1464	281	324	1307	629
Phatr3_J53935	1;1	189548;190502	190270;190561	-;-	783	543	438	511	90	171	331	222	942	218	134	420	236
Phatr3_J9462	1;1	191268;191470	191331;192446	+;+	1041	4658	3885	4650	3581	6862	6137	5493	28092	4671	4404	17797	7466
Phatr3_J42487	1;1	192573;193204	192995;193380	-;-	600	1708	1455	1862	1575	2034	1201	1919	10502	1400	2679	8534	4170
Phatr3_J31486	1;1;1;1;1	194023;194095;194483;194584;194768	194051;194436;194531;194649;194953	+;+;+;+;+	672	138	142	130	91	147	64	149	840	130	92	457	167
Phatr3_J42488	1;1	195154;195613	195496;198808	+;+	3539	2317	2131	2274	1349	2192	1234	2280	10479	2010	1909	7151	3603
Phatr3_J9007	1	198987	199688	-	702	172	147	171	80	166	106	69	378	80	102	334	225
Phatr3_J9033	1	200457	201466	+	1010	445	420	470	336	494	466	345	1709	390	392	1395	695
Phatr3_J3311	1	201775	202938	-	1164	77	112	145	85	161	177	165	808	234	170	724	298
Phatr3_J9319	1	203470	205668	+	2199	946	967	1011	924	1387	1192	746	3824	728	915	3050	1592
Phatr3_J31492	1	206169	207809	+	1641	125	102	98	294	453	203	113	457	121	367	1281	693
Phatr3_J17215	1	208570	209794	-	1225	225	251	300	253	325	275	230	1151	197	306	927	455
Phatr3_J31494	1	210118	210783	-	666	170	128	161	302	448	574	155	642	114	143	443	255
Phatr3_J42494	1;1	211490;212352	212247;214274	+;+	2681	823	863	1090	387	425	753	1026	3787	707	1043	3568	1807
Phatr3_EG01836	1;1	213413;214297	214265;214322	-;-	879	0	3	2	0	0	0	1	5	2	1	8	2
Phatr3_J42495	1	214447	218148	-	3702	2406	2446	2500	3280	4389	4559	1778	9048	1430	943	3626	2090
Phatr3_J42496	1	218625	220039	+	1415	303	263	310	187	280	277	171	998	235	221	778	383
Phatr3_J42497	1;1	220125;224030	223961;227383	-;-	7191	1651	1745	1851	1463	2435	1564	1079	5473	1078	1430	4768	2979
Phatr3_EG01753	1;1	227004;227756	227663;227881	+;+	786	31	26	37	31	68	33	20	112	18	53	261	121
Phatr3_J42498	1;1	228043;229051	228933;230112	+;+	1953	305	340	386	169	221	173	318	1627	280	472	1784	820
Phatr3_EG01826	1	230371	231327	-	957	1223	1317	1178	799	1248	739	1005	4885	1068	1739	6185	2394
Phatr3_J42500	1	231776	232831	+	1056	564	500	623	352	520	376	380	1883	476	707	2501	1070
Phatr3_J42501	1	233982	236249	+	2268	959	1027	1127	765	905	900	825	3952	858	1464	5039	2697
Phatr3_EG01854	1;1	234279;234390	234345;234796	-;-	474	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01855	1;1	235470;235645	235594;235744	-;-	225	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_J42502	1	237300	239003	-	1704	114	126	137	88	196	65	64	486	84	174	631	326
Phatr3_J42503	1;1	239632;240193	240109;240500	-;-	786	222	182	188	188	280	186	169	909	162	229	869	375
Phatr3_J8683	1	241098	242192	+	1095	73	87	63	323	656	598	114	581	102	1073	4112	1555
Phatr3_J42504	1;1	242745;243547	243463;244228	+;+	1401	516	455	521	426	548	446	385	1464	284	582	2143	1343
Phatr3_EG01833	1;1	243596;244283	244206;244355	-;-	684	11	12	8	8	7	13	6	12	9	4	17	7
Phatr3_J42505	1;1	244371;245601	245526;247873	-;-	3429	1388	1288	1418	1626	2540	1578	1066	5227	859	1419	5018	2941
Phatr3_J31508	1;1	248431;248917	248849;249511	+;+	1014	127	140	121	89	145	105	79	412	86	99	359	197
Phatr3_EG02200	1;1	249552;250096	249975;250301	-;-	630	1	0	1	3	1	2	0	0	0	3	9	3
Phatr3_EG02192	1	250849	251253	-	405	2155	1964	1992	417	619	653	1214	6713	1313	403	1845	767
Phatr3_J42507	1	251911	253961	+	2051	595	475	506	407	579	393	1147	3896	961	1321	4643	2629
Phatr3_J31511	1	254210	254614	-	405	186	137	161	99	172	111	154	630	133	138	539	204
Phatr3_J1598	1	255115	256905	+	1791	819	830	837	701	1185	825	661	2866	561	791	2506	1501
Phatr3_J42510	1	257414	258478	-	1065	169	131	146	149	274	271	154	658	208	229	871	413
Phatr3_EG01794	1	259632	261449	+	1818	207	174	197	190	358	243	198	884	166	236	822	392
Phatr3_EG01884	1;1	260855;261003	260981;261241	-;-	366	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_J42512	1	261807	265097	-	3291	1798	1564	1731	1309	1952	1493	1200	6577	1293	1348	4625	2475
Phatr3_EG01811	1;1	263404;263893	263859;264051	+;+	615	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01762	1;1	264652;264824	264726;265153	+;+	405	24	13	11	6	22	13	17	39	11	10	60	49
Phatr3_J42513	1;1;1;1;1	266059;267911;268167;268536;269527	267830;268093;268458;269444;270510	+;+;+;+;+	4140	793	907	873	943	1412	874	679	3336	613	760	2621	1553
Phatr3_J42514	1;1;1	270657;271360;271805	271267;271415;271908	-;-;-	771	5388	5629	5591	1621	2185	1923	6342	30721	5558	5463	22195	9204
Phatr3_J31518	1	272934	274322	-	1389	1	2	1	3	5	0	0	1	2	3	20	10
Phatr3_J42515	1;1;1	275730;275933;276164	275897;276073;276594	+;+;+	740	663	610	573	680	1038	583	496	2582	469	409	1535	687
Phatr3_J53939	1;1	277131;277300	277185;278052	+;+	808	1029	918	1139	841	1351	1236	709	3595	701	890	3285	1767
Phatr3_J24353	1;1;1	278128;278991;279851	278899;279647;279924	-;-;-	1503	7112	5763	6779	5280	6924	8086	4563	23941	3589	2625	10598	5242
Phatr3_J42518	1;1	280923;281531	281213;281599	-;-	360	302	396	374	253	403	285	322	1425	218	260	1126	571
Phatr3_J42519	1	282249	282866	-	618	584	534	475	440	624	309	532	2769	400	530	2210	913
Phatr3_J17226	1;1	283241;284127	284060;284475	+;+	1169	535	462	496	382	584	337	378	2112	333	462	1757	921
Phatr3_J31525	1;1	284490;284935	284852;287886	-;-	3315	1915	1938	1975	1637	2790	1676	1422	7488	1196	1532	5644	3125
Phatr3_J42521	1	288163	289641	+	1479	151	140	184	140	217	170	111	527	114	131	432	269
Phatr3_J17228	1	289687	292089	-	2403	1579	1593	1549	1019	1720	1244	1001	5146	876	689	2522	1504
Phatr3_J42523	1	292286	293257	-	972	751	593	671	513	814	428	721	3631	545	945	3839	1697
Phatr3_J31529	1	293774	294814	-	1041	88	70	86	70	125	60	65	391	66	74	191	154
Phatr3_J24362	1	295278	296378	+	1101	372	309	347	400	574	381	260	1551	235	303	1138	596
Phatr3_J6528	1	296423	297586	-	1164	350	298	324	220	299	234	273	1487	276	208	796	397
Phatr3_J17238	1	297952	300828	-	2877	1934	1678	1884	1667	2434	2252	1872	9901	1601	1724	6087	3249
Phatr3_EG02195	1	301857	305288	-	3432	0	0	0	1	0	0	0	0	0	0	3	7
Phatr3_EG02474	1;1	305298;306001	305970;306974	-;-	1647	0	0	0	1	0	1	0	3	1	6	13	5
Phatr3_EG01778	1;1	305867;306172	306002;306473	+;+	438	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_J31535	1	307597	308418	-	822	0	0	2	0	0	0	0	0	0	0	0	1
Phatr3_J42527	1	308825	310393	+	1569	308	348	401	209	351	265	199	1048	251	189	733	346
Phatr3_J31537	1;1	311811;316205	315729;316233	+;+	3948	1	0	0	0	1	1	0	3	0	7	18	15
Phatr3_J31539	1;1	316844;317127	317040;317391	-;-	462	19	15	28	6	13	2	64	281	42	35	137	65
Phatr3_J42528	1	317941	318534	-	594	3	1	4	2	1	2	6	8	1	3	7	3
Phatr3_EG01769	1	321371	322138	+	768	19	13	19	19	18	27	5	48	7	150	619	287
Phatr3_J42529	1	322884	323432	-	549	78	62	70	13	28	11	127	695	100	58	202	96
Phatr3_J42530	1	323982	324575	-	594	4	1	3	5	9	3	9	37	10	18	45	20
Phatr3_J42531	1	325155	326051	-	897	326	221	238	265	417	246	307	1633	284	359	1509	530
Phatr3_J31544	1;1;1	326727;327344;327596	327254;327405;330132	+;+;+	3127	2482	2163	2388	1586	2204	1357	1871	9678	1636	1847	6459	3155
Phatr3_J9386	1	330172	331347	-	1176	20	26	30	30	38	35	30	80	21	21	79	60
Phatr3_EG01806	1;1	330356;330793	330772;331446	+;+	1071	6	3	9	14	10	13	7	22	5	9	21	18
Phatr3_EG01807	1	332036	332716	+	681	322	321	312	350	675	347	246	1116	241	292	1113	558
Phatr3_J9180	1	332921	336886	-	3966	771	670	768	866	1229	1024	479	1996	418	800	2696	1620
Phatr3_J42534	1;1	338354;338930	338847;339038	-;-	603	440	391	356	318	542	210	285	1189	189	311	1004	821
Phatr3_J42535	1	339713	340414	+	702	137	105	121	155	233	126	138	654	131	197	696	268
Phatr3_J9538	1;1	340776;342763	342467;342972	-;-	1902	6113	6593	7437	10895	15529	11595	5795	27460	5211	8974	32053	15486
Phatr3_EG01766	1;1;1	346104;346418;346518	346380;346494;346730	+;+;+	567	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01776	1;1	346761;347118	347067;347539	+;+	729	0	0	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01784	1;1	348223;348583	348420;348768	+;+	384	0	2	0	0	0	0	0	0	0	0	8	3
Phatr3_J42537	1;1;1;1;1	352205;352584;354602;356810;357348	352556;354593;356434;357333;358062	+;+;+;+;+	5434	24	25	21	17	24	19	9	30	10	116	302	180
Phatr3_J51345	1;1	359822;359987	359905;360421	+;+	519	915	638	688	724	1092	771	666	3659	462	609	2309	1147
Phatr3_J42538	1;1;1	361483;361762;362152	361651;361823;362842	+;+;+	922	79	111	88	114	203	104	48	229	54	135	426	195
Phatr3_J42539	1	363179	364222	-	1044	91	126	98	114	176	71	68	322	76	183	687	362
Phatr3_J9342	1	364492	366582	+	2091	765	708	676	408	636	359	767	3940	685	716	2553	1266
Phatr3_J31556	1;1	366673;367938	367923;368021	-;-	1335	384	320	316	400	640	229	436	2046	317	691	2249	1178
Phatr3_EG02412	1;1;1	368591;368832;370205	368623;369654;370941	-;-;-	1593	578	434	536	476	754	465	460	2346	412	662	2626	1160
Phatr3_J31559	1;1	371554;371883	371808;372521	+;+	894	313	279	248	304	416	238	276	1307	223	342	1234	633
Phatr3_J42543	1;1	372811;373535	373455;373870	-;-	981	1450	1574	1769	745	1258	1343	1092	4962	1016	1116	4113	1982
Phatr3_J9185	1;1;1	374625;374984;376027	374702;375939;377074	+;+;+	2082	904	623	786	1037	1566	914	842	3648	633	961	3632	1894
Phatr3_EG02183	1	378076	378978	-	903	403	375	309	431	532	366	288	1427	215	345	1308	771
Phatr3_EG02182	1;1	379493;379946	379843;380242	-;-	648	610	598	694	592	991	494	588	2740	475	664	2675	1276
Phatr3_J42546	1	380914	382065	+	1152	535	510	634	484	840	454	385	1782	311	427	1463	867
Phatr3_J42547	1	382792	385158	+	2367	2692	2752	2698	1966	3299	1708	1964	8824	1665	2175	7337	4287
Phatr3_J42548	1	385240	386280	-	1041	367	335	339	319	453	533	274	1674	246	156	663	338
Phatr3_J17259	1;1	386552;387094	386956;387919	+;+	1231	1127	1073	1067	1054	1682	1156	1044	4625	832	929	3400	1918
Phatr3_J3062	1;1	388380;389355	389275;390246	+;+	1788	1132	1056	1070	943	1356	811	972	4526	802	920	3229	1699
Phatr3_J17265	1;1;1	390868;391703;392220	391636;392146;393207	+;+;+	2201	1334	942	990	537	760	464	1591	8396	1299	700	2645	1436
Phatr3_J9546	1	394369	395352	+	984	568	491	509	294	428	190	463	2588	362	619	2077	1106
Phatr3_J42552	1;1	395498;396247	396172;397152	-;-	1581	407	402	400	408	625	371	317	1874	295	589	1961	1080
Phatr3_EG01787	1;1	398563;398786	398666;399251	+;+	570	53	39	55	36	71	20	61	253	57	119	312	249
Phatr3_J83	1;1;1;1;1;1	399327;399882;400487;401040;401294;402010	399807;400403;400967;401254;401937;403329	+;+;+;+;+;+	3663	1009	1046	1142	812	1264	636	1127	5170	1010	1536	5080	3077
Phatr3_J31571	1	403360	405456	-	2097	464	508	528	354	563	317	390	1882	359	445	1533	790
Phatr3_J42555	1;1;1;1;1;1;1	405918;407482;407973;408367;409025;409232;409564	407399;407946;408296;408957;409159;409490;409852	+;+;+;+;+;+;+	3545	639	784	744	615	1134	729	677	3194	507	1335	4797	2225
Phatr3_J42556	1;1	409983;410478	410394;412960	-;-	2895	860	886	1010	1500	1811	1949	606	2987	429	553	2017	1194
Phatr3_J42557	1	413686	415771	+	2086	540	522	566	482	798	794	445	2283	380	447	1797	794
Phatr3_J5762	1	415828	416769	-	942	170	145	157	182	299	230	324	1624	256	386	1521	723
Phatr3_J42559	1;1	417241;417733	417648;418193	+;+	869	897	641	721	821	1167	892	564	2989	417	670	2433	1213
Phatr3_J42560	1;1	418880;419300	419234;421065	+;+	2121	627	591	620	1098	1424	612	915	3789	738	1596	5178	2988
Phatr3_J31578	1	421201	422010	-	810	128	143	143	99	177	122	256	1040	237	171	566	239
Phatr3_J42561	1	422884	424437	-	1554	307	321	291	237	357	112	241	1241	201	336	1169	627
Phatr3_J17276	1;1;1	426067;426311;426481	426197;426389;426905	+;+;+	635	1419	1276	1381	1068	1564	1104	1116	5792	935	1184	4266	2105
Phatr3_J42563	1	426996	428909	-	1914	670	572	633	460	639	614	398	2019	355	310	1242	694
Phatr3_J42564	1	429721	430242	+	522	986	577	639	532	780	206	313	2212	225	619	2413	1197
Phatr3_J42565	1	430525	431778	-	1254	980	1072	1214	528	782	928	820	3806	659	714	2670	1299
EPrPhatr3G00000013101	1	432547	432631	-	85	2	3	0	4	6	3	3	5	2	0	9	1
Phatr3_J31584	1	433311	435167	+	1857	208	192	205	303	458	485	218	952	186	225	906	531
Phatr3_J42566	1;1	449743;450256	449909;450812	+;+	724	11500	8944	10641	8190	13910	12484	8070	42075	5576	10423	41220	18008
Phatr3_J42567	1;1;1;1;1;1;1	451849;452928;454191;454375;454475;454612;454899	452851;454101;454295;454404;454529;454828;456264	+;+;+;+;+;+;+	3950	2310	2231	2539	2269	3403	3417	1637	8319	1546	1668	6097	3446
Phatr3_EG02435	1;1;1;1	456300;457282;457447;457724	457181;457356;457616;458096	-;-;-;-	1500	409	461	577	211	491	274	937	3666	785	680	2334	1019
Phatr3_EG02436	1;1;1;1	459305;460128;460284;460533	460045;460202;460453;460830	-;-;-;-	1284	89	57	57	389	495	385	197	420	192	171	675	411
Phatr3_J42570	1;1;1;1	461801;463173;463912;464287	463084;463835;464207;465847	-;-;-;-	3804	3572	3719	4083	6305	8167	8293	3327	15438	2145	1692	6569	3950
Phatr3_EG02165	1;1;1	466346;467064;467596	466957;467482;467869	+;+;+	1305	427	455	488	586	927	653	585	2194	532	623	2250	1077
Phatr3_EG02170	1;1	468480;470265	470179;470958	+;+	2394	720	916	783	1061	1923	931	367	1876	384	480	1815	1353
Phatr3_EG02437	1;1	471381;471657	471561;472072	+;+	597	1210	1145	1146	1732	2634	1792	1207	6102	818	642	2716	1307
Phatr3_J9444	1;1	472201;473442	473344;473560	-;-	1263	540	578	646	323	567	346	267	1414	314	388	1392	913
Phatr3_J42574	1;1;1;1	474293;474592;475151;475933	474514;475077;475915;476744	+;+;+;+	2285	13615	10538	11914	6888	10306	5664	4520	19093	3353	4839	14662	12020
Phatr3_J31594	1	476858	477601	-	744	333	357	397	394	661	278	321	1643	267	430	1367	711
Phatr3_J3211	1;1	478221;478577	478499;480145	-;-	1848	1081	1060	1016	886	1504	792	921	4511	735	816	3025	1537
Phatr3_J42576	1	481302	482687	+	1386	17	31	7	11	32	8	46	154	37	26	84	44
